perturbation	group	grit	cell_line	barcode_control	cor_method	random_iteration
BCL2-2	BCL2	-0.007990262952233065	A549	cutting_control	pearson	0
BCL2L2-1	BCL2L2	0.14222958442900255	A549	cutting_control	pearson	0
BCL2L2-2	BCL2L2	-0.05516019927724498	A549	cutting_control	pearson	0
BCL2L2-4	BCL2L2	0.17298138291372533	A549	cutting_control	pearson	0
BRAF-2	BRAF		A549	cutting_control	pearson	0
BRAF1-1	BRAF1		A549	cutting_control	pearson	0
BRCA1-1	BRCA1	-0.22479260310426552	A549	cutting_control	pearson	0
BRCA1-2	BRCA1	-0.21089935039294047	A549	cutting_control	pearson	0
BRD4-1	BRD4	0.1934774215505578	A549	cutting_control	pearson	0
BRD4-2	BRD4	0.07533468510355806	A549	cutting_control	pearson	0
CCND1-1	CCND1	0.0613910958781482	A549	cutting_control	pearson	0
CCND1-2	CCND1	0.06220652207331466	A549	cutting_control	pearson	0
CCNE1-1	CCNE1	0.02277911377535245	A549	cutting_control	pearson	0
CCNE1-2	CCNE1	0.12140034199716375	A549	cutting_control	pearson	0
CDK2-1	CDK2	-0.22949831692763864	A549	cutting_control	pearson	0
CDK2-2	CDK2	-0.28663179624949264	A549	cutting_control	pearson	0
CDK4-1	CDK4	-0.16412394350153547	A549	cutting_control	pearson	0
CDK4-2	CDK4	0.035558391053888944	A549	cutting_control	pearson	0
CDK4-3	CDK4	0.0039022911006405783	A549	cutting_control	pearson	0
CHEK2-1	CHEK2	-0.2324552703063394	A549	cutting_control	pearson	0
CHEK2-2	CHEK2	0.1031465204882662	A549	cutting_control	pearson	0
COX5B-1	COX5B	-0.01277900953916932	A549	cutting_control	pearson	0
COX5B-2	COX5B	0.22095138421995053	A549	cutting_control	pearson	0
CSNK1A1-1	CSNK1A1	0.08319925705031928	A549	cutting_control	pearson	0
CSNK1A1-2	CSNK1A1	-0.0638327625003656	A549	cutting_control	pearson	0
CTNNB1-1	CTNNB1	0.29418350985887204	A549	cutting_control	pearson	0
CTNNB1-2	CTNNB1	0.2594277342903275	A549	cutting_control	pearson	0
Chr2-1	Chr2	-0.006802367847531419	A549	cutting_control	pearson	0
Chr2-2	Chr2	0.001827114531371765	A549	cutting_control	pearson	0
Chr2-3	Chr2	-0.002050117097530224	A549	cutting_control	pearson	0
Chr2-4	Chr2	-0.0029400748308597725	A549	cutting_control	pearson	0
Chr2-5	Chr2	-0.0122683214936664	A549	cutting_control	pearson	0
Chr2-6	Chr2	0.00931238222748943	A549	cutting_control	pearson	0
DOT1L-1	DOT1L	-0.20756051439254797	A549	cutting_control	pearson	0
DOT1L-2	DOT1L	-0.23273134702475134	A549	cutting_control	pearson	0
EGFR-1	EGFR	-0.3056904697647702	A549	cutting_control	pearson	0
EGFR-2	EGFR	-0.06024308407705606	A549	cutting_control	pearson	0
EGLN1-8	EGLN1	-0.21580589049628593	A549	cutting_control	pearson	0
EGLN1-9	EGLN1	-0.017845404123542186	A549	cutting_control	pearson	0
EMPTY	EMPTY		A549	cutting_control	pearson	0
ERBB2-1	ERBB2	0.22550899034892513	A549	cutting_control	pearson	0
ERBB2-2	ERBB2	0.15882656834259506	A549	cutting_control	pearson	0
ERBB3-1	ERBB3	0.1358560834193544	A549	cutting_control	pearson	0
ERBB3-2	ERBB3	0.04613788728978975	A549	cutting_control	pearson	0
EZH2-1	EZH2	-0.14865164546990783	A549	cutting_control	pearson	0
EZH2-2	EZH2	-0.4628549876741328	A549	cutting_control	pearson	0
GLS-1	GLS	-0.08067683955125271	A549	cutting_control	pearson	0
GLS-2	GLS	-0.2395704705557326	A549	cutting_control	pearson	0
GPX4-1	GPX4	0.041996042142195	A549	cutting_control	pearson	0
GPX4-2	GPX4	0.13480058703601872	A549	cutting_control	pearson	0
HIF1a-1	HIF1a	-0.04880190608818439	A549	cutting_control	pearson	0
HIF1a-2	HIF1a	-0.05819183662940667	A549	cutting_control	pearson	0
ITGAV-1	ITGAV	0.12324670652474598	A549	cutting_control	pearson	0
ITGAV-2	ITGAV	0.10676843004941995	A549	cutting_control	pearson	0
JAK3-1	JAK3	0.020430668309375642	A549	cutting_control	pearson	0
JAK3-2	JAK3	0.24621220067205785	A549	cutting_control	pearson	0
KIF11-1	KIF11	0.18286764870519354	A549	cutting_control	pearson	0
KIF11-2	KIF11	-0.03796840057147124	A549	cutting_control	pearson	0
KRAS-1	KRAS	-0.07703061842304454	A549	cutting_control	pearson	0
KRAS-2A	KRAS	-0.07446878406451457	A549	cutting_control	pearson	0
KRAS-2B	KRAS	-0.17704876045671222	A549	cutting_control	pearson	0
LacZ-2	LacZ	-0.07402753338393846	A549	cutting_control	pearson	0
LacZ-3	LacZ	0.13769379693715345	A549	cutting_control	pearson	0
Luc-1	Luc	0.11077485482415271	A549	cutting_control	pearson	0
Luc-2	Luc	-0.09943691920685478	A549	cutting_control	pearson	0
MAPK1-1	MAPK1	0.11823332155424827	A549	cutting_control	pearson	0
MAPK1-2	MAPK1	-0.0770328400744082	A549	cutting_control	pearson	0
MCL1-2	MCL1	-0.16698494615282852	A549	cutting_control	pearson	0
MCL1-5	MCL1	-0.05797249669964306	A549	cutting_control	pearson	0
MTOR-1	MTOR	0.10902422370556414	A549	cutting_control	pearson	0
MTOR-2	MTOR	-0.3292550843303672	A549	cutting_control	pearson	0
MYC-1	MYC	-0.347015589919363	A549	cutting_control	pearson	0
MYC-2	MYC	-0.2492952522606384	A549	cutting_control	pearson	0
ORC4-1	ORC4	0.010084127982436984	A549	cutting_control	pearson	0
ORC4-2	ORC4	-0.013553897278724414	A549	cutting_control	pearson	0
PIK3CA-1	PIK3CA	-0.11773014900286222	A549	cutting_control	pearson	0
PIK3CA-2	PIK3CA	-0.256904458783518	A549	cutting_control	pearson	0
POLR2D-1	POLR2D	0.03146348200340854	A549	cutting_control	pearson	0
POLR2D-2	POLR2D	-0.10142821706065788	A549	cutting_control	pearson	0
PPIB-1	PPIB	-0.1211378994668238	A549	cutting_control	pearson	0
PPIB-2	PPIB	0.020387685068322378	A549	cutting_control	pearson	0
PRDX1-1	PRDX1	-0.28670319689330687	A549	cutting_control	pearson	0
PRDX1-2	PRDX1	-0.08261062377365448	A549	cutting_control	pearson	0
PSMA1-1	PSMA1	-0.07518202948482736	A549	cutting_control	pearson	0
PSMA1-2	PSMA1	-0.07191232982313288	A549	cutting_control	pearson	0
PTK2-1	PTK2	0.10438420489647851	A549	cutting_control	pearson	0
PTK2-2	PTK2	0.11897958070922243	A549	cutting_control	pearson	0
RAC1-1	RAC1	-0.01958233120020574	A549	cutting_control	pearson	0
RAC1-2	RAC1	-0.0068414180939016765	A549	cutting_control	pearson	0
RAF1-1	RAF1	0.10172400046207118	A549	cutting_control	pearson	0
RAF1-2	RAF1	0.14900334144391023	A549	cutting_control	pearson	0
RHOA-1	RHOA	-0.23540493653857622	A549	cutting_control	pearson	0
RHOA-2	RHOA	-0.0004953530803626865	A549	cutting_control	pearson	0
SDHB-1	SDHB	0.05443468519262082	A549	cutting_control	pearson	0
SDHB-2	SDHB	-0.09668612115851086	A549	cutting_control	pearson	0
SLC2A1-1	SLC2A1		A549	cutting_control	pearson	0
SLC2A2-2	SLC2A2		A549	cutting_control	pearson	0
SMARCB1-1	SMARCB1	0.20732384864471076	A549	cutting_control	pearson	0
SMARCB1-2	SMARCB1	0.17471511970883344	A549	cutting_control	pearson	0
STAT3-1	STAT3	0.07359401982071789	A549	cutting_control	pearson	0
STAT3-2	STAT3	0.18493233783696583	A549	cutting_control	pearson	0
SUZ12-1	SUZ12	0.02450837172912598	A549	cutting_control	pearson	0
SUZ12-2	SUZ12	-0.0466933544126831	A549	cutting_control	pearson	0
TXN-1	TXN	-0.07042405048251313	A549	cutting_control	pearson	0
TXN-2	TXN	-0.05988614448557935	A549	cutting_control	pearson	0
XBP-1	XBP	-0.22123190860777178	A549	cutting_control	pearson	0
XBP-2	XBP	-0.34419642920762467	A549	cutting_control	pearson	0
YAP1-1	YAP1	-0.21193012433983405	A549	cutting_control	pearson	0
YAP1-2	YAP1	-0.12399210361090558	A549	cutting_control	pearson	0
AKT1-1	AKT1	0.05836008378858258	ES2	cutting_control	pearson	0
AKT1-2	AKT1	0.2966729450341759	ES2	cutting_control	pearson	0
ARID1B-1	ARID1B	-0.00966146566555546	ES2	cutting_control	pearson	0
ARID1B-2	ARID1B	-0.0353681815356883	ES2	cutting_control	pearson	0
ATF4-1	ATF4	0.10565471280668542	ES2	cutting_control	pearson	0
ATF4-2	ATF4	0.11409420970742937	ES2	cutting_control	pearson	0
ATP50-1	ATP50	-0.49607266062675875	ES2	cutting_control	pearson	0
ATP50-2	ATP50	-0.37341046279434154	ES2	cutting_control	pearson	0
AURKB-2	AURKB		ES2	cutting_control	pearson	0
BCL2-1	BCL2	0.006826277089758926	ES2	cutting_control	pearson	0
BCL2-2	BCL2	0.07743376141815439	ES2	cutting_control	pearson	0
BCL2L2-1	BCL2L2	-0.07268829120987554	ES2	cutting_control	pearson	0
BCL2L2-2	BCL2L2	0.07653020920070246	ES2	cutting_control	pearson	0
BCL2L2-4	BCL2L2	-0.006161519435744623	ES2	cutting_control	pearson	0
BRAF-2	BRAF		ES2	cutting_control	pearson	0
BRAF1-1	BRAF1		ES2	cutting_control	pearson	0
BRCA1-1	BRCA1	0.3081017837176893	ES2	cutting_control	pearson	0
BRCA1-2	BRCA1	0.34832566149301575	ES2	cutting_control	pearson	0
BRD4-1	BRD4	-0.24316671058659547	ES2	cutting_control	pearson	0
BRD4-2	BRD4	-0.03737189564323998	ES2	cutting_control	pearson	0
CCND1-1	CCND1	0.0027526362861495113	ES2	cutting_control	pearson	0
CCND1-2	CCND1	0.13450217911525286	ES2	cutting_control	pearson	0
CCNE1-1	CCNE1	-0.16867315173553374	ES2	cutting_control	pearson	0
CCNE1-2	CCNE1	0.013196554444167174	ES2	cutting_control	pearson	0
CDK2-1	CDK2	-0.03413264812345307	ES2	cutting_control	pearson	0
CDK2-2	CDK2	-0.09691943647326512	ES2	cutting_control	pearson	0
CDK4-1	CDK4	-0.022487233140361333	ES2	cutting_control	pearson	0
CDK4-2	CDK4	-0.023691782333133182	ES2	cutting_control	pearson	0
CDK4-3	CDK4	0.27098592179563563	ES2	cutting_control	pearson	0
CHEK2-1	CHEK2	0.24185498439261272	ES2	cutting_control	pearson	0
CHEK2-2	CHEK2	0.2511262208392912	ES2	cutting_control	pearson	0
COX5B-1	COX5B	0.25215275536457565	ES2	cutting_control	pearson	0
COX5B-2	COX5B	0.16795916790580578	ES2	cutting_control	pearson	0
CSNK1A1-1	CSNK1A1	-0.10173574451454725	ES2	cutting_control	pearson	0
CSNK1A1-2	CSNK1A1	-0.19335684549307033	ES2	cutting_control	pearson	0
CTNNB1-1	CTNNB1	0.008590535773309961	ES2	cutting_control	pearson	0
CTNNB1-2	CTNNB1	0.05389927101489588	ES2	cutting_control	pearson	0
Chr2-1	Chr2	-0.010630889475563482	ES2	cutting_control	pearson	0
Chr2-2	Chr2	0.0019896186136886163	ES2	cutting_control	pearson	0
Chr2-3	Chr2	0.010972327174981634	ES2	cutting_control	pearson	0
Chr2-4	Chr2	0.026360354574213016	ES2	cutting_control	pearson	0
Chr2-5	Chr2	-0.011737010499249322	ES2	cutting_control	pearson	0
Chr2-6	Chr2	-0.04838944445661853	ES2	cutting_control	pearson	0
DOT1L-1	DOT1L	0.3524521014874053	ES2	cutting_control	pearson	0
DOT1L-2	DOT1L	0.05609435448097538	ES2	cutting_control	pearson	0
EGFR-1	EGFR	-0.10910607523215389	ES2	cutting_control	pearson	0
EGFR-2	EGFR	-0.209783678742003	ES2	cutting_control	pearson	0
EGLN1-8	EGLN1	-0.15973210895657647	ES2	cutting_control	pearson	0
EGLN1-9	EGLN1	-0.026310603881116293	ES2	cutting_control	pearson	0
EMPTY	EMPTY		ES2	cutting_control	pearson	0
ERBB2-1	ERBB2	-0.21751811467707582	ES2	cutting_control	pearson	0
ERBB2-2	ERBB2	-0.16077026583121062	ES2	cutting_control	pearson	0
ERBB3-1	ERBB3	-0.03805960221939581	ES2	cutting_control	pearson	0
ERBB3-2	ERBB3	0.015202409166953994	ES2	cutting_control	pearson	0
EZH2-1	EZH2	-0.014052809344011276	ES2	cutting_control	pearson	0
EZH2-2	EZH2	-0.06326994576233406	ES2	cutting_control	pearson	0
GLS-1	GLS	0.10926287126381001	ES2	cutting_control	pearson	0
GLS-2	GLS	-0.12314242719207856	ES2	cutting_control	pearson	0
GPX4-1	GPX4	0.0002693950882737504	ES2	cutting_control	pearson	0
GPX4-2	GPX4	-0.23830882898978623	ES2	cutting_control	pearson	0
HIF1a-1	HIF1a	0.07126878849755977	ES2	cutting_control	pearson	0
HIF1a-2	HIF1a	0.07775617773546845	ES2	cutting_control	pearson	0
ITGAV-1	ITGAV	0.18703256829805368	ES2	cutting_control	pearson	0
ITGAV-2	ITGAV	0.25892267595411794	ES2	cutting_control	pearson	0
JAK3-1	JAK3	-0.05360805137824265	ES2	cutting_control	pearson	0
JAK3-2	JAK3	0.03855413868611402	ES2	cutting_control	pearson	0
KIF11-1	KIF11	0.03841485626436359	ES2	cutting_control	pearson	0
KIF11-2	KIF11	0.11590785717243876	ES2	cutting_control	pearson	0
KRAS-1	KRAS	0.11414767728688482	ES2	cutting_control	pearson	0
KRAS-2A	KRAS	0.1100815805389571	ES2	cutting_control	pearson	0
KRAS-2B	KRAS	-0.007443428523727381	ES2	cutting_control	pearson	0
LacZ-2	LacZ	0.004282715917221329	ES2	cutting_control	pearson	0
LacZ-3	LacZ	-0.0397211032469621	ES2	cutting_control	pearson	0
Luc-1	Luc	-0.08770673063990628	ES2	cutting_control	pearson	0
Luc-2	Luc	-0.009256370076070554	ES2	cutting_control	pearson	0
MAPK1-1	MAPK1	0.2618054862702701	ES2	cutting_control	pearson	0
MAPK1-2	MAPK1	0.34104033896793445	ES2	cutting_control	pearson	0
MCL1-2	MCL1	0.21003967417636837	ES2	cutting_control	pearson	0
MCL1-5	MCL1	0.13980491864790334	ES2	cutting_control	pearson	0
MTOR-1	MTOR	-0.08471196126891704	ES2	cutting_control	pearson	0
MTOR-2	MTOR	0.03518900077004355	ES2	cutting_control	pearson	0
MYC-1	MYC	0.28904942226097746	ES2	cutting_control	pearson	0
MYC-2	MYC	0.18696213423619618	ES2	cutting_control	pearson	0
ORC4-1	ORC4	0.00258904493650756	ES2	cutting_control	pearson	0
ORC4-2	ORC4	-0.07408191588420888	ES2	cutting_control	pearson	0
PIK3CA-1	PIK3CA	-0.17227646789607626	ES2	cutting_control	pearson	0
PIK3CA-2	PIK3CA	-0.1232751116744473	ES2	cutting_control	pearson	0
POLR2D-1	POLR2D	-0.05274915156496433	ES2	cutting_control	pearson	0
POLR2D-2	POLR2D	0.04245434724981274	ES2	cutting_control	pearson	0
PPIB-1	PPIB	-0.03912115754511811	ES2	cutting_control	pearson	0
PPIB-2	PPIB	0.005709724563649907	ES2	cutting_control	pearson	0
PRDX1-1	PRDX1	-0.26747914318061206	ES2	cutting_control	pearson	0
PRDX1-2	PRDX1	-0.2644633870835975	ES2	cutting_control	pearson	0
PSMA1-1	PSMA1	-0.04929983052091284	ES2	cutting_control	pearson	0
PSMA1-2	PSMA1	0.08038350107532717	ES2	cutting_control	pearson	0
PTK2-1	PTK2	-0.17028115904173888	ES2	cutting_control	pearson	0
PTK2-2	PTK2	-0.03597333640986511	ES2	cutting_control	pearson	0
RAC1-1	RAC1	0.015085408868042598	ES2	cutting_control	pearson	0
RAC1-2	RAC1	0.06367689133123773	ES2	cutting_control	pearson	0
RAF1-1	RAF1	0.26354088778926876	ES2	cutting_control	pearson	0
RAF1-2	RAF1	0.1649681238265895	ES2	cutting_control	pearson	0
RHOA-1	RHOA	0.1424520554996046	ES2	cutting_control	pearson	0
RHOA-2	RHOA	0.019407794449441244	ES2	cutting_control	pearson	0
SDHB-1	SDHB	0.19841062490434214	ES2	cutting_control	pearson	0
SDHB-2	SDHB	0.08713928679160447	ES2	cutting_control	pearson	0
SLC2A1-1	SLC2A1		ES2	cutting_control	pearson	0
SLC2A2-2	SLC2A2		ES2	cutting_control	pearson	0
SMARCB1-1	SMARCB1	-0.1350861809934899	ES2	cutting_control	pearson	0
SMARCB1-2	SMARCB1	-0.14440817936631276	ES2	cutting_control	pearson	0
STAT3-1	STAT3	-0.18931881252267083	ES2	cutting_control	pearson	0
STAT3-2	STAT3	-0.09343706045592122	ES2	cutting_control	pearson	0
SUZ12-1	SUZ12	0.09928571134715584	ES2	cutting_control	pearson	0
SUZ12-2	SUZ12	0.1329936417127625	ES2	cutting_control	pearson	0
TXN-1	TXN	0.17341100152069527	ES2	cutting_control	pearson	0
TXN-2	TXN	0.39419686886939576	ES2	cutting_control	pearson	0
XBP-1	XBP	0.09133637681588785	ES2	cutting_control	pearson	0
XBP-2	XBP	0.14070539641682595	ES2	cutting_control	pearson	0
YAP1-1	YAP1	-0.19988402449906653	ES2	cutting_control	pearson	0
YAP1-2	YAP1	-0.43089242338355604	ES2	cutting_control	pearson	0
AKT1-1	AKT1	0.022186533142569118	HCC44	cutting_control	pearson	1
AKT1-2	AKT1	0.19077132588378376	HCC44	cutting_control	pearson	1
ARID1B-1	ARID1B	0.055370356809983465	HCC44	cutting_control	pearson	1
ARID1B-2	ARID1B	0.0024578372022139613	HCC44	cutting_control	pearson	1
ATF4-1	ATF4	-0.19445363133010812	HCC44	cutting_control	pearson	1
ATF4-2	ATF4	0.021677200607258702	HCC44	cutting_control	pearson	1
ATP50-1	ATP50	-0.24374428342724175	HCC44	cutting_control	pearson	1
ATP50-2	ATP50	-0.04783493796990941	HCC44	cutting_control	pearson	1
AURKB-2	AURKB		HCC44	cutting_control	pearson	1
BCL2-1	BCL2	0.04878820135860515	HCC44	cutting_control	pearson	1
BCL2-2	BCL2	0.0474667725273302	HCC44	cutting_control	pearson	1
