perturbation	group	grit	cell_line	barcode_control	cor_method	random_iteration	num_controls
ERBB3-1	ERBB3	0.7140032812229025	HCC44	perturbation_control	pearson	0	168
ERBB3-2	ERBB3	0.6258551185711511	HCC44	perturbation_control	pearson	0	168
EZH2-1	EZH2	0.9287445944674594	HCC44	perturbation_control	pearson	0	168
EZH2-2	EZH2	1.048467617288872	HCC44	perturbation_control	pearson	0	168
GLS-1	GLS	1.0999909954524991	HCC44	perturbation_control	pearson	0	168
GLS-2	GLS	0.9085538322826038	HCC44	perturbation_control	pearson	0	168
GPX4-1	GPX4	0.9843177341791289	HCC44	perturbation_control	pearson	0	168
GPX4-2	GPX4	0.8310927999600998	HCC44	perturbation_control	pearson	0	168
HIF1a-1	HIF1a	0.6864619013780556	HCC44	perturbation_control	pearson	0	168
HIF1a-2	HIF1a	0.6523969114389075	HCC44	perturbation_control	pearson	0	168
ITGAV-1	ITGAV	3.4956364362636196	HCC44	perturbation_control	pearson	0	168
ITGAV-2	ITGAV	3.6565007359956505	HCC44	perturbation_control	pearson	0	168
JAK3-1	JAK3	0.3302480142504795	HCC44	perturbation_control	pearson	0	168
JAK3-2	JAK3	0.2768090341647988	HCC44	perturbation_control	pearson	0	168
KIF11-1	KIF11	2.3888258186579043	HCC44	perturbation_control	pearson	0	168
KIF11-2	KIF11	2.2745921444115833	HCC44	perturbation_control	pearson	0	168
KRAS-1	KRAS	1.532058404429086	HCC44	perturbation_control	pearson	0	168
KRAS-2A	KRAS	1.447311603775377	HCC44	perturbation_control	pearson	0	168
KRAS-2B	KRAS	0.8776054725691244	HCC44	perturbation_control	pearson	0	168
LacZ-2	LacZ	0.2832155388669272	HCC44	perturbation_control	pearson	0	168
LacZ-3	LacZ	0.24773118925375373	HCC44	perturbation_control	pearson	0	168
Luc-1	Luc	0.4912265641822844	HCC44	perturbation_control	pearson	0	168
Luc-2	Luc	0.4631358898628119	HCC44	perturbation_control	pearson	0	168
MAPK1-1	MAPK1	0.9351399946165215	HCC44	perturbation_control	pearson	0	168
MAPK1-2	MAPK1	0.8650689896741758	HCC44	perturbation_control	pearson	0	168
MCL1-2	MCL1	0.4836251032274175	HCC44	perturbation_control	pearson	0	168
MCL1-5	MCL1	0.5038127324290413	HCC44	perturbation_control	pearson	0	168
MTOR-1	MTOR	1.8215232811836186	HCC44	perturbation_control	pearson	0	168
MTOR-2	MTOR	1.5508908097690228	HCC44	perturbation_control	pearson	0	168
MYC-1	MYC	2.5638861780068174	HCC44	perturbation_control	pearson	0	168
MYC-2	MYC	2.5368215096181945	HCC44	perturbation_control	pearson	0	168
ORC4-1	ORC4	0.3535708901303517	HCC44	perturbation_control	pearson	0	168
ORC4-2	ORC4	0.3708120511214691	HCC44	perturbation_control	pearson	0	168
PIK3CA-1	PIK3CA	0.8195113212830968	HCC44	perturbation_control	pearson	0	168
PIK3CA-2	PIK3CA	0.8231669754208794	HCC44	perturbation_control	pearson	0	168
POLR2D-1	POLR2D	2.5738846867351026	HCC44	perturbation_control	pearson	0	168
POLR2D-2	POLR2D	2.4522182988863364	HCC44	perturbation_control	pearson	0	168
PPIB-1	PPIB	0.11464669690246779	HCC44	perturbation_control	pearson	0	168
PPIB-2	PPIB	0.11318637340769677	HCC44	perturbation_control	pearson	0	168
PRDX1-1	PRDX1	0.3169217985916425	HCC44	perturbation_control	pearson	0	168
PRDX1-2	PRDX1	0.2957343635189336	HCC44	perturbation_control	pearson	0	168
PSMA1-1	PSMA1	2.1972132215659843	HCC44	perturbation_control	pearson	0	168
PSMA1-2	PSMA1	2.2669034638847503	HCC44	perturbation_control	pearson	0	168
PTK2-1	PTK2	2.7097691573175826	HCC44	perturbation_control	pearson	0	168
PTK2-2	PTK2	2.801088962305333	HCC44	perturbation_control	pearson	0	168
RAC1-1	RAC1	0.9544103613412004	HCC44	perturbation_control	pearson	0	168
RAC1-2	RAC1	0.8158169543595224	HCC44	perturbation_control	pearson	0	168
RAF1-1	RAF1	0.9365562416643682	HCC44	perturbation_control	pearson	0	168
RAF1-2	RAF1	1.0902648928969243	HCC44	perturbation_control	pearson	0	168
RHOA-1	RHOA	2.368002430785484	HCC44	perturbation_control	pearson	0	168
RHOA-2	RHOA	2.492661424065424	HCC44	perturbation_control	pearson	0	168
SDHB-1	SDHB	1.6784736319105646	HCC44	perturbation_control	pearson	0	168
SDHB-2	SDHB	1.2844300170019691	HCC44	perturbation_control	pearson	0	168
SLC2A1-1	SLC2A1		HCC44	perturbation_control	pearson	0	168
SLC2A2-2	SLC2A2		HCC44	perturbation_control	pearson	0	168
SMARCB1-1	SMARCB1	0.6360471592141189	HCC44	perturbation_control	pearson	0	168
SMARCB1-2	SMARCB1	0.7036796997848325	HCC44	perturbation_control	pearson	0	168
STAT3-1	STAT3	0.7210219453309608	HCC44	perturbation_control	pearson	0	168
STAT3-2	STAT3	0.6265750735377904	HCC44	perturbation_control	pearson	0	168
SUZ12-1	SUZ12	1.6004271425219985	HCC44	perturbation_control	pearson	0	168
SUZ12-2	SUZ12	1.62620194267119	HCC44	perturbation_control	pearson	0	168
TXN-1	TXN	0.810487614754951	HCC44	perturbation_control	pearson	0	168
TXN-2	TXN	0.6925864326628223	HCC44	perturbation_control	pearson	0	168
XBP-1	XBP	1.059481374521455	HCC44	perturbation_control	pearson	0	168
XBP-2	XBP	1.1844178316158986	HCC44	perturbation_control	pearson	0	168
YAP1-1	YAP1	0.5591970854240096	HCC44	perturbation_control	pearson	0	168
YAP1-2	YAP1	0.635761205116554	HCC44	perturbation_control	pearson	0	168
AKT1-1	AKT1	0.32772298041609077	A549	perturbation_control	pearson	0	168
AKT1-2	AKT1	0.289317201294631	A549	perturbation_control	pearson	0	168
ARID1B-1	ARID1B	0.7066931779351925	A549	perturbation_control	pearson	0	168
ARID1B-2	ARID1B	0.730232372197218	A549	perturbation_control	pearson	0	168
ATF4-1	ATF4	1.9959038398532551	A549	perturbation_control	pearson	0	168
ATF4-2	ATF4	1.9713189205183173	A549	perturbation_control	pearson	0	168
ATP50-1	ATP50	0.6987049742133846	A549	perturbation_control	pearson	0	168
ATP50-2	ATP50	0.6000536417822513	A549	perturbation_control	pearson	0	168
AURKB-2	AURKB		A549	perturbation_control	pearson	0	168
BCL2-1	BCL2	0.580813082699292	A549	perturbation_control	pearson	0	168
BCL2-2	BCL2	0.5355594374260761	A549	perturbation_control	pearson	0	168
BCL2L2-1	BCL2L2	0.06276384494735093	A549	perturbation_control	pearson	0	168
BCL2L2-2	BCL2L2	-0.03717703196992119	A549	perturbation_control	pearson	0	168
BCL2L2-4	BCL2L2	-0.06211787514691664	A549	perturbation_control	pearson	0	168
BRAF-2	BRAF		A549	perturbation_control	pearson	0	168
BRAF1-1	BRAF1		A549	perturbation_control	pearson	0	168
BRCA1-1	BRCA1	0.9055466061287993	A549	perturbation_control	pearson	0	168
BRCA1-2	BRCA1	0.9215649225267377	A549	perturbation_control	pearson	0	168
BRD4-1	BRD4	1.1052684203025989	A549	perturbation_control	pearson	0	168
BRD4-2	BRD4	1.1246352381035867	A549	perturbation_control	pearson	0	168
CCND1-1	CCND1	1.4143365801846812	A549	perturbation_control	pearson	0	168
CCND1-2	CCND1	1.3445752464300975	A549	perturbation_control	pearson	0	168
CCNE1-1	CCNE1	1.9040787883377586	A549	perturbation_control	pearson	0	168
CCNE1-2	CCNE1	1.8149758107004668	A549	perturbation_control	pearson	0	168
CDK2-1	CDK2	1.804215900624325	A549	perturbation_control	pearson	0	168
CDK2-2	CDK2	1.660147545685725	A549	perturbation_control	pearson	0	168
CDK4-1	CDK4	1.4757402536317885	A549	perturbation_control	pearson	0	168
CDK4-2	CDK4	1.389997452858064	A549	perturbation_control	pearson	0	168
CDK4-3	CDK4	1.3433783783120594	A549	perturbation_control	pearson	0	168
CHEK2-1	CHEK2	0.21485001640273507	A549	perturbation_control	pearson	0	168
CHEK2-2	CHEK2	0.18462340851368444	A549	perturbation_control	pearson	0	168
COX5B-1	COX5B	0.9002856231047319	A549	perturbation_control	pearson	0	168
COX5B-2	COX5B	0.7315169456784775	A549	perturbation_control	pearson	0	168
CSNK1A1-1	CSNK1A1	1.95446001940097	A549	perturbation_control	pearson	0	168
CSNK1A1-2	CSNK1A1	1.5571192939052834	A549	perturbation_control	pearson	0	168
CTNNB1-1	CTNNB1	-0.2613649564914884	A549	perturbation_control	pearson	0	168
CTNNB1-2	CTNNB1	-0.193704982919977	A549	perturbation_control	pearson	0	168
Chr2-1	Chr2	0.486327870384524	A549	perturbation_control	pearson	0	168
Chr2-2	Chr2	0.3607166279436964	A549	perturbation_control	pearson	0	168
Chr2-3	Chr2	0.5498264137401083	A549	perturbation_control	pearson	0	168
Chr2-4	Chr2	0.17234161237057133	A549	perturbation_control	pearson	0	168
Chr2-5	Chr2	0.3951432140659476	A549	perturbation_control	pearson	0	168
Chr2-6	Chr2	0.5422355812042606	A549	perturbation_control	pearson	0	168
DOT1L-1	DOT1L	0.3976821147256854	A549	perturbation_control	pearson	0	168
DOT1L-2	DOT1L	0.42515569452349716	A549	perturbation_control	pearson	0	168
EGFR-1	EGFR	0.5067138381480442	A549	perturbation_control	pearson	0	168
EGFR-2	EGFR	0.46360399216260323	A549	perturbation_control	pearson	0	168
EGLN1-8	EGLN1	0.5899169947764212	A549	perturbation_control	pearson	0	168
EGLN1-9	EGLN1	0.5253440248926348	A549	perturbation_control	pearson	0	168
EMPTY	EMPTY		A549	perturbation_control	pearson	0	168
ERBB2-1	ERBB2	1.5182519790078834	A549	perturbation_control	pearson	0	168
ERBB2-2	ERBB2	1.6146046113852786	A549	perturbation_control	pearson	0	168
ERBB3-1	ERBB3	1.103539918407115	A549	perturbation_control	pearson	0	168
ERBB3-2	ERBB3	1.0210788761309486	A549	perturbation_control	pearson	0	168
EZH2-1	EZH2	1.3053767768177496	A549	perturbation_control	pearson	0	168
EZH2-2	EZH2	1.2465137300434557	A549	perturbation_control	pearson	0	168
GLS-1	GLS	0.7721328970736652	A549	perturbation_control	pearson	0	168
GLS-2	GLS	0.5234115507588624	A549	perturbation_control	pearson	0	168
GPX4-1	GPX4	0.6217625174595246	A549	perturbation_control	pearson	0	168
GPX4-2	GPX4	0.7582265772103443	A549	perturbation_control	pearson	0	168
HIF1a-1	HIF1a	0.27082317096461495	A549	perturbation_control	pearson	0	168
HIF1a-2	HIF1a	0.25194094645022025	A549	perturbation_control	pearson	0	168
ITGAV-1	ITGAV	3.3144997378001464	A549	perturbation_control	pearson	0	168
ITGAV-2	ITGAV	3.4008870376691775	A549	perturbation_control	pearson	0	168
JAK3-1	JAK3	0.09720388207114573	A549	perturbation_control	pearson	0	168
JAK3-2	JAK3	0.15107004633414298	A549	perturbation_control	pearson	0	168
KIF11-1	KIF11	1.7988733609300611	A549	perturbation_control	pearson	0	168
KIF11-2	KIF11	1.8798087438427449	A549	perturbation_control	pearson	0	168
KRAS-1	KRAS	0.8533016521963522	A549	perturbation_control	pearson	0	168
KRAS-2A	KRAS	0.8705315669226042	A549	perturbation_control	pearson	0	168
KRAS-2B	KRAS	0.01000484161651881	A549	perturbation_control	pearson	0	168
LacZ-2	LacZ	0.3232171082145245	A549	perturbation_control	pearson	0	168
LacZ-3	LacZ	0.32253437886856745	A549	perturbation_control	pearson	0	168
Luc-1	Luc	0.5562532470948905	A549	perturbation_control	pearson	0	168
Luc-2	Luc	0.5943235367605	A549	perturbation_control	pearson	0	168
MAPK1-1	MAPK1	0.4794847525038406	A549	perturbation_control	pearson	0	168
MAPK1-2	MAPK1	0.3967379428633617	A549	perturbation_control	pearson	0	168
MCL1-2	MCL1	-0.03607506829424566	A549	perturbation_control	pearson	0	168
MCL1-5	MCL1	-0.045670921511051316	A549	perturbation_control	pearson	0	168
MTOR-1	MTOR	1.3026569018266552	A549	perturbation_control	pearson	0	168
MTOR-2	MTOR	1.362983724657882	A549	perturbation_control	pearson	0	168
MYC-1	MYC	2.468636194550884	A549	perturbation_control	pearson	0	168
MYC-2	MYC	2.18602697416787	A549	perturbation_control	pearson	0	168
ORC4-1	ORC4	0.18968242362384435	A549	perturbation_control	pearson	0	168
ORC4-2	ORC4	0.18565885961724823	A549	perturbation_control	pearson	0	168
PIK3CA-1	PIK3CA	1.2868736243057766	A549	perturbation_control	pearson	0	168
PIK3CA-2	PIK3CA	1.5861629621139695	A549	perturbation_control	pearson	0	168
POLR2D-1	POLR2D	1.8175964421978543	A549	perturbation_control	pearson	0	168
POLR2D-2	POLR2D	1.8183279539364103	A549	perturbation_control	pearson	0	168
PPIB-1	PPIB	-0.06597022584501086	A549	perturbation_control	pearson	0	168
PPIB-2	PPIB	-0.08088986453102757	A549	perturbation_control	pearson	0	168
PRDX1-1	PRDX1	0.5457047913594225	A549	perturbation_control	pearson	0	168
PRDX1-2	PRDX1	0.49438740958255284	A549	perturbation_control	pearson	0	168
PSMA1-1	PSMA1	1.6774733305053615	A549	perturbation_control	pearson	0	168
PSMA1-2	PSMA1	1.5577597350692358	A549	perturbation_control	pearson	0	168
PTK2-1	PTK2	2.249774255953147	A549	perturbation_control	pearson	0	168
PTK2-2	PTK2	2.6091480363366975	A549	perturbation_control	pearson	0	168
RAC1-1	RAC1	0.20148552867676328	A549	perturbation_control	pearson	0	168
RAC1-2	RAC1	0.18151084426569516	A549	perturbation_control	pearson	0	168
RAF1-1	RAF1	0.7235436045105765	A549	perturbation_control	pearson	0	168
RAF1-2	RAF1	0.6553638865050191	A549	perturbation_control	pearson	0	168
RHOA-1	RHOA	0.923324367412576	A549	perturbation_control	pearson	0	168
RHOA-2	RHOA	0.8344706191722903	A549	perturbation_control	pearson	0	168
SDHB-1	SDHB	0.5041382246027273	A549	perturbation_control	pearson	0	168
SDHB-2	SDHB	0.5002179711331762	A549	perturbation_control	pearson	0	168
SLC2A1-1	SLC2A1		A549	perturbation_control	pearson	0	168
SLC2A2-2	SLC2A2		A549	perturbation_control	pearson	0	168
SMARCB1-1	SMARCB1	0.15777150485705194	A549	perturbation_control	pearson	0	168
SMARCB1-2	SMARCB1	0.17994295571441532	A549	perturbation_control	pearson	0	168
STAT3-1	STAT3	0.5395309054899329	A549	perturbation_control	pearson	0	168
STAT3-2	STAT3	0.5480045544491317	A549	perturbation_control	pearson	0	168
SUZ12-1	SUZ12	1.726061477121074	A549	perturbation_control	pearson	0	168
SUZ12-2	SUZ12	1.588147399073767	A549	perturbation_control	pearson	0	168
TXN-1	TXN	0.9958957855220364	A549	perturbation_control	pearson	0	168
TXN-2	TXN	1.064226714127045	A549	perturbation_control	pearson	0	168
XBP-1	XBP	1.2780148837883416	A549	perturbation_control	pearson	0	168
XBP-2	XBP	1.213826623368641	A549	perturbation_control	pearson	0	168
YAP1-1	YAP1	0.5272585113682116	A549	perturbation_control	pearson	0	168
YAP1-2	YAP1	0.5459490145321282	A549	perturbation_control	pearson	0	168
AKT1-1	AKT1	0.19682781641046265	ES2	perturbation_control	pearson	0	168
AKT1-2	AKT1	0.19759114710709028	ES2	perturbation_control	pearson	0	168
ARID1B-1	ARID1B	0.8290899050299536	ES2	perturbation_control	pearson	0	168
ARID1B-2	ARID1B	0.7911199057943805	ES2	perturbation_control	pearson	0	168
ATF4-1	ATF4	1.1058171684315041	ES2	perturbation_control	pearson	0	168
ATF4-2	ATF4	1.1746900937747546	ES2	perturbation_control	pearson	0	168
ATP50-1	ATP50	0.4672828531490889	ES2	perturbation_control	pearson	0	168
ATP50-2	ATP50	0.4324661917758485	ES2	perturbation_control	pearson	0	168
AURKB-2	AURKB		ES2	perturbation_control	pearson	0	168
BCL2-1	BCL2	0.1645722100628994	ES2	perturbation_control	pearson	0	168
BCL2-2	BCL2	0.20039300388335096	ES2	perturbation_control	pearson	0	168
BCL2L2-1	BCL2L2	-0.12681964801906356	ES2	perturbation_control	pearson	0	168
BCL2L2-2	BCL2L2	0.10094669540581347	ES2	perturbation_control	pearson	0	168
BCL2L2-4	BCL2L2	0.15909318672944056	ES2	perturbation_control	pearson	0	168
BRAF-2	BRAF		ES2	perturbation_control	pearson	0	168
BRAF1-1	BRAF1		ES2	perturbation_control	pearson	0	168
BRCA1-1	BRCA1	0.46741157298706804	ES2	perturbation_control	pearson	0	168
BRCA1-2	BRCA1	0.4829941588241506	ES2	perturbation_control	pearson	0	168
BRD4-1	BRD4	1.2630796981905232	ES2	perturbation_control	pearson	0	168
BRD4-2	BRD4	1.2599658133247993	ES2	perturbation_control	pearson	0	168
CCND1-1	CCND1	2.4701583267809752	ES2	perturbation_control	pearson	0	168
CCND1-2	CCND1	2.6462055460375056	ES2	perturbation_control	pearson	0	168
CCNE1-1	CCNE1	1.100075727178597	ES2	perturbation_control	pearson	0	168
CCNE1-2	CCNE1	1.1475185744528598	ES2	perturbation_control	pearson	0	168
CDK2-1	CDK2	2.1362913473323433	ES2	perturbation_control	pearson	0	168
CDK2-2	CDK2	1.9374352526807377	ES2	perturbation_control	pearson	0	168
CDK4-1	CDK4	2.79821752361741	ES2	perturbation_control	pearson	0	168
CDK4-2	CDK4	2.73265328980195	ES2	perturbation_control	pearson	0	168
CDK4-3	CDK4	2.6227310635167163	ES2	perturbation_control	pearson	0	168
CHEK2-1	CHEK2	0.5851303157308541	ES2	perturbation_control	pearson	0	168
CHEK2-2	CHEK2	0.5093778499756572	ES2	perturbation_control	pearson	0	168
COX5B-1	COX5B	0.1416709914129085	ES2	perturbation_control	pearson	0	168
COX5B-2	COX5B	0.12124243246704763	ES2	perturbation_control	pearson	0	168
CSNK1A1-1	CSNK1A1	0.921283086057943	ES2	perturbation_control	pearson	0	168
CSNK1A1-2	CSNK1A1	0.8583147443306743	ES2	perturbation_control	pearson	0	168
CTNNB1-1	CTNNB1	1.2512254110904564	ES2	perturbation_control	pearson	0	168
CTNNB1-2	CTNNB1	1.2156929421451754	ES2	perturbation_control	pearson	0	168
Chr2-1	Chr2	0.31706363625209594	ES2	perturbation_control	pearson	0	168
Chr2-2	Chr2	0.22023995940719496	ES2	perturbation_control	pearson	0	168
Chr2-3	Chr2	0.5746061491622917	ES2	perturbation_control	pearson	0	168
Chr2-4	Chr2	0.3671825897641093	ES2	perturbation_control	pearson	0	168
Chr2-5	Chr2	0.4202260929234999	ES2	perturbation_control	pearson	0	168
Chr2-6	Chr2	0.50277028009201	ES2	perturbation_control	pearson	0	168
DOT1L-1	DOT1L	1.3235558868010637	ES2	perturbation_control	pearson	0	168
DOT1L-2	DOT1L	1.3048354258033443	ES2	perturbation_control	pearson	0	168
EGFR-1	EGFR	1.1536332759094508	ES2	perturbation_control	pearson	0	168
EGFR-2	EGFR	1.355155185104433	ES2	perturbation_control	pearson	0	168
EGLN1-8	EGLN1	2.755260946241022	ES2	perturbation_control	pearson	0	168
EGLN1-9	EGLN1	2.574257160852791	ES2	perturbation_control	pearson	0	168
EMPTY	EMPTY		ES2	perturbation_control	pearson	0	168
ERBB2-1	ERBB2	1.42300405330135	ES2	perturbation_control	pearson	0	168
ERBB2-2	ERBB2	1.4216712895763797	ES2	perturbation_control	pearson	0	168
ERBB3-1	ERBB3	0.7389624099174577	ES2	perturbation_control	pearson	0	168
ERBB3-2	ERBB3	0.7064937164310944	ES2	perturbation_control	pearson	0	168
EZH2-1	EZH2	1.4212300945009178	ES2	perturbation_control	pearson	0	168
EZH2-2	EZH2	1.5625624002692606	ES2	perturbation_control	pearson	0	168
GLS-1	GLS	1.1568318402046565	ES2	perturbation_control	pearson	0	168
GLS-2	GLS	1.1435423611674005	ES2	perturbation_control	pearson	0	168
GPX4-1	GPX4	3.5513256066115355	ES2	perturbation_control	pearson	0	168
GPX4-2	GPX4	3.2842181657953464	ES2	perturbation_control	pearson	0	168
HIF1a-1	HIF1a	0.9226211379316678	ES2	perturbation_control	pearson	0	168
HIF1a-2	HIF1a	0.9567895812299834	ES2	perturbation_control	pearson	0	168
ITGAV-1	ITGAV	2.8934377652964525	ES2	perturbation_control	pearson	0	168
ITGAV-2	ITGAV	3.075652004241959	ES2	perturbation_control	pearson	0	168
JAK3-1	JAK3	-0.004046348241556127	ES2	perturbation_control	pearson	0	168
JAK3-2	JAK3	-0.03498173436995676	ES2	perturbation_control	pearson	0	168
KIF11-1	KIF11	1.5490867176532288	ES2	perturbation_control	pearson	0	168
KIF11-2	KIF11	1.8479896558479036	ES2	perturbation_control	pearson	0	168
KRAS-1	KRAS	0.15809673598816826	ES2	perturbation_control	pearson	0	168
KRAS-2A	KRAS	0.2819612325786049	ES2	perturbation_control	pearson	0	168
KRAS-2B	KRAS	0.12586086445356529	ES2	perturbation_control	pearson	0	168
LacZ-2	LacZ	-0.04015947077487769	ES2	perturbation_control	pearson	0	168
LacZ-3	LacZ	-0.04711950792731481	ES2	perturbation_control	pearson	0	168
Luc-1	Luc	0.49874046747609824	ES2	perturbation_control	pearson	0	168
Luc-2	Luc	0.4608102955579668	ES2	perturbation_control	pearson	0	168
MAPK1-1	MAPK1	3.0089116586446667	ES2	perturbation_control	pearson	0	168
MAPK1-2	MAPK1	2.956421094847902	ES2	perturbation_control	pearson	0	168
MCL1-2	MCL1	0.15147416666840108	ES2	perturbation_control	pearson	0	168
MCL1-5	MCL1	0.12655070606760807	ES2	perturbation_control	pearson	0	168
MTOR-1	MTOR	1.5979288027899476	ES2	perturbation_control	pearson	0	168
MTOR-2	MTOR	1.60249219778055	ES2	perturbation_control	pearson	0	168
MYC-1	MYC	3.7142865165429537	ES2	perturbation_control	pearson	0	168
MYC-2	MYC	3.5154201806305903	ES2	perturbation_control	pearson	0	168
ORC4-1	ORC4	0.4010954392491837	ES2	perturbation_control	pearson	0	168
ORC4-2	ORC4	0.42296084625632485	ES2	perturbation_control	pearson	0	168
PIK3CA-1	PIK3CA	0.8946142200649623	ES2	perturbation_control	pearson	0	168
PIK3CA-2	PIK3CA	1.0336300862423355	ES2	perturbation_control	pearson	0	168
POLR2D-1	POLR2D	2.628745440024212	ES2	perturbation_control	pearson	0	168
POLR2D-2	POLR2D	2.523855157559393	ES2	perturbation_control	pearson	0	168
PPIB-1	PPIB	0.14498391295643814	ES2	perturbation_control	pearson	0	168
PPIB-2	PPIB	0.1539505326075846	ES2	perturbation_control	pearson	0	168
PRDX1-1	PRDX1	0.5465111496471047	ES2	perturbation_control	pearson	0	168
PRDX1-2	PRDX1	0.7506790285862264	ES2	perturbation_control	pearson	0	168
PSMA1-1	PSMA1	2.838853470730779	ES2	perturbation_control	pearson	0	168
PSMA1-2	PSMA1	3.0532035231380146	ES2	perturbation_control	pearson	0	168
PTK2-1	PTK2	1.9177344656760233	ES2	perturbation_control	pearson	0	168
PTK2-2	PTK2	1.878712433444179	ES2	perturbation_control	pearson	0	168
RAC1-1	RAC1	0.8426598464184719	ES2	perturbation_control	pearson	0	168
RAC1-2	RAC1	0.835107613972476	ES2	perturbation_control	pearson	0	168
RAF1-1	RAF1	1.1479649868720228	ES2	perturbation_control	pearson	0	168
RAF1-2	RAF1	1.1498752233326406	ES2	perturbation_control	pearson	0	168
RHOA-1	RHOA	2.699542911994487	ES2	perturbation_control	pearson	0	168
RHOA-2	RHOA	3.022862400254707	ES2	perturbation_control	pearson	0	168
SDHB-1	SDHB	0.9852640084088365	ES2	perturbation_control	pearson	0	168
SDHB-2	SDHB	0.9585723770879047	ES2	perturbation_control	pearson	0	168
SLC2A1-1	SLC2A1		ES2	perturbation_control	pearson	0	168
SLC2A2-2	SLC2A2		ES2	perturbation_control	pearson	0	168
