perturbation	group	grit	cell_line	barcode_control	cor_method	random_iteration	shuffle_method	norm_method
CCND1-2	CCND1	-0.06122851708340715	ES2	cutting_control	pearson	0	independent_column	ctrl_based
CCNE1-1	CCNE1	0.8111332240351173	ES2	cutting_control	pearson	0	independent_column	ctrl_based
CCNE1-2	CCNE1	0.42211233016887656	ES2	cutting_control	pearson	0	independent_column	ctrl_based
CDK2-1	CDK2	0.610947496306756	ES2	cutting_control	pearson	0	independent_column	ctrl_based
CDK2-2	CDK2	0.44315895698216223	ES2	cutting_control	pearson	0	independent_column	ctrl_based
CDK4-1	CDK4	-0.4468739215022662	ES2	cutting_control	pearson	0	independent_column	ctrl_based
CDK4-2	CDK4	-0.2066297080829923	ES2	cutting_control	pearson	0	independent_column	ctrl_based
CDK4-3	CDK4	-0.16603837329641263	ES2	cutting_control	pearson	0	independent_column	ctrl_based
CHEK2-1	CHEK2	0.03808897193678429	ES2	cutting_control	pearson	0	independent_column	ctrl_based
CHEK2-2	CHEK2	0.6921033568155002	ES2	cutting_control	pearson	0	independent_column	ctrl_based
COX5B-1	COX5B	-0.0407453166779812	ES2	cutting_control	pearson	0	independent_column	ctrl_based
COX5B-2	COX5B	-0.08828709464874074	ES2	cutting_control	pearson	0	independent_column	ctrl_based
CSNK1A1-1	CSNK1A1	0.385671719082043	ES2	cutting_control	pearson	0	independent_column	ctrl_based
CSNK1A1-2	CSNK1A1	0.622140486986587	ES2	cutting_control	pearson	0	independent_column	ctrl_based
CTNNB1-1	CTNNB1	0.4276272895438954	ES2	cutting_control	pearson	0	independent_column	ctrl_based
CTNNB1-2	CTNNB1	0.28512395237183163	ES2	cutting_control	pearson	0	independent_column	ctrl_based
Chr2-1	Chr2	0.0009990817471988212	ES2	cutting_control	pearson	0	independent_column	ctrl_based
Chr2-2	Chr2	0.008050511303523758	ES2	cutting_control	pearson	0	independent_column	ctrl_based
Chr2-3	Chr2	0.009462315660467558	ES2	cutting_control	pearson	0	independent_column	ctrl_based
Chr2-4	Chr2	-0.02422708429940369	ES2	cutting_control	pearson	0	independent_column	ctrl_based
Chr2-5	Chr2	0.036380420296444095	ES2	cutting_control	pearson	0	independent_column	ctrl_based
Chr2-6	Chr2	0.04700761985084238	ES2	cutting_control	pearson	0	independent_column	ctrl_based
DOT1L-1	DOT1L	0.3217559926336031	ES2	cutting_control	pearson	0	independent_column	ctrl_based
DOT1L-2	DOT1L	-0.13805025066173018	ES2	cutting_control	pearson	0	independent_column	ctrl_based
EGFR-1	EGFR	-0.27753550665357307	ES2	cutting_control	pearson	0	independent_column	ctrl_based
EGFR-2	EGFR	-0.3076069830391943	ES2	cutting_control	pearson	0	independent_column	ctrl_based
EGLN1-8	EGLN1	-0.22702916877912827	ES2	cutting_control	pearson	0	independent_column	ctrl_based
EGLN1-9	EGLN1	0.26803074800091004	ES2	cutting_control	pearson	0	independent_column	ctrl_based
EMPTY	EMPTY		ES2	cutting_control	pearson	0	independent_column	ctrl_based
ERBB2-1	ERBB2	-0.891308302620746	ES2	cutting_control	pearson	0	independent_column	ctrl_based
ERBB2-2	ERBB2	-0.6612436172601871	ES2	cutting_control	pearson	0	independent_column	ctrl_based
ERBB3-1	ERBB3	0.6341840507541328	ES2	cutting_control	pearson	0	independent_column	ctrl_based
ERBB3-2	ERBB3	0.5314220226696464	ES2	cutting_control	pearson	0	independent_column	ctrl_based
EZH2-1	EZH2	-0.09746463619945078	ES2	cutting_control	pearson	0	independent_column	ctrl_based
EZH2-2	EZH2	-0.1950017848449292	ES2	cutting_control	pearson	0	independent_column	ctrl_based
GLS-1	GLS	0.8037429039494787	ES2	cutting_control	pearson	0	independent_column	ctrl_based
GLS-2	GLS	-0.005795427255138208	ES2	cutting_control	pearson	0	independent_column	ctrl_based
GPX4-1	GPX4	0.1584395721053359	ES2	cutting_control	pearson	0	independent_column	ctrl_based
GPX4-2	GPX4	0.07295156767662389	ES2	cutting_control	pearson	0	independent_column	ctrl_based
HIF1a-1	HIF1a	-0.7972268370150655	ES2	cutting_control	pearson	0	independent_column	ctrl_based
HIF1a-2	HIF1a	-0.8450431826556436	ES2	cutting_control	pearson	0	independent_column	ctrl_based
ITGAV-1	ITGAV	0.2361148829676291	ES2	cutting_control	pearson	0	independent_column	ctrl_based
ITGAV-2	ITGAV	0.6741066103629165	ES2	cutting_control	pearson	0	independent_column	ctrl_based
JAK3-1	JAK3	0.26884306203083697	ES2	cutting_control	pearson	0	independent_column	ctrl_based
JAK3-2	JAK3	-0.2567899488240195	ES2	cutting_control	pearson	0	independent_column	ctrl_based
KIF11-1	KIF11	-0.31965780550965933	ES2	cutting_control	pearson	0	independent_column	ctrl_based
KIF11-2	KIF11	-0.5421567037345761	ES2	cutting_control	pearson	0	independent_column	ctrl_based
KRAS-1	KRAS	-0.3391771145301798	ES2	cutting_control	pearson	0	independent_column	ctrl_based
KRAS-2A	KRAS	-0.14370066306930232	ES2	cutting_control	pearson	0	independent_column	ctrl_based
KRAS-2B	KRAS	-0.1927064736796521	ES2	cutting_control	pearson	0	independent_column	ctrl_based
LacZ-2	LacZ	0.2881723709438396	ES2	cutting_control	pearson	0	independent_column	ctrl_based
LacZ-3	LacZ	0.14571963277164865	ES2	cutting_control	pearson	0	independent_column	ctrl_based
Luc-1	Luc	0.09580269010460066	ES2	cutting_control	pearson	0	independent_column	ctrl_based
Luc-2	Luc	-0.008693548991898834	ES2	cutting_control	pearson	0	independent_column	ctrl_based
MAPK1-1	MAPK1	0.6779793695080766	ES2	cutting_control	pearson	0	independent_column	ctrl_based
MAPK1-2	MAPK1	0.2594775678917533	ES2	cutting_control	pearson	0	independent_column	ctrl_based
MCL1-2	MCL1	0.7259363103155138	ES2	cutting_control	pearson	0	independent_column	ctrl_based
MCL1-5	MCL1	0.3513827049864495	ES2	cutting_control	pearson	0	independent_column	ctrl_based
MTOR-1	MTOR	0.18223395885730778	ES2	cutting_control	pearson	0	independent_column	ctrl_based
MTOR-2	MTOR	0.20763771321314234	ES2	cutting_control	pearson	0	independent_column	ctrl_based
MYC-1	MYC	0.6076379655866153	ES2	cutting_control	pearson	0	independent_column	ctrl_based
MYC-2	MYC	0.48128831347978746	ES2	cutting_control	pearson	0	independent_column	ctrl_based
ORC4-1	ORC4	-0.0325535367540474	ES2	cutting_control	pearson	0	independent_column	ctrl_based
ORC4-2	ORC4	0.07163700599764003	ES2	cutting_control	pearson	0	independent_column	ctrl_based
PIK3CA-1	PIK3CA	-0.4557233866850741	ES2	cutting_control	pearson	0	independent_column	ctrl_based
PIK3CA-2	PIK3CA	-0.5954663324823513	ES2	cutting_control	pearson	0	independent_column	ctrl_based
POLR2D-1	POLR2D	0.012787356500274759	ES2	cutting_control	pearson	0	independent_column	ctrl_based
POLR2D-2	POLR2D	0.1812849641633254	ES2	cutting_control	pearson	0	independent_column	ctrl_based
PPIB-1	PPIB	0.3471947482987762	ES2	cutting_control	pearson	0	independent_column	ctrl_based
PPIB-2	PPIB	0.2452485403876152	ES2	cutting_control	pearson	0	independent_column	ctrl_based
PRDX1-1	PRDX1	0.9306087298994101	ES2	cutting_control	pearson	0	independent_column	ctrl_based
PRDX1-2	PRDX1	0.6991595644324217	ES2	cutting_control	pearson	0	independent_column	ctrl_based
PSMA1-1	PSMA1	0.2575380652148173	ES2	cutting_control	pearson	0	independent_column	ctrl_based
PSMA1-2	PSMA1	0.09351494365319277	ES2	cutting_control	pearson	0	independent_column	ctrl_based
PTK2-1	PTK2	-0.28521193534337563	ES2	cutting_control	pearson	0	independent_column	ctrl_based
PTK2-2	PTK2	0.036411595598306964	ES2	cutting_control	pearson	0	independent_column	ctrl_based
RAC1-1	RAC1	-0.2752982025300573	ES2	cutting_control	pearson	0	independent_column	ctrl_based
RAC1-2	RAC1	0.0026757458897962716	ES2	cutting_control	pearson	0	independent_column	ctrl_based
RAF1-1	RAF1	0.23250071006191259	ES2	cutting_control	pearson	0	independent_column	ctrl_based
RAF1-2	RAF1	0.5399682104514841	ES2	cutting_control	pearson	0	independent_column	ctrl_based
RHOA-1	RHOA	-0.6491582334080859	ES2	cutting_control	pearson	0	independent_column	ctrl_based
RHOA-2	RHOA	-0.12115199118027586	ES2	cutting_control	pearson	0	independent_column	ctrl_based
SDHB-1	SDHB	-1.558445964247316	ES2	cutting_control	pearson	0	independent_column	ctrl_based
SDHB-2	SDHB	-1.2729764909187746	ES2	cutting_control	pearson	0	independent_column	ctrl_based
SLC2A1-1	SLC2A1		ES2	cutting_control	pearson	0	independent_column	ctrl_based
SLC2A2-2	SLC2A2		ES2	cutting_control	pearson	0	independent_column	ctrl_based
SMARCB1-1	SMARCB1	-0.5222830812805389	ES2	cutting_control	pearson	0	independent_column	ctrl_based
SMARCB1-2	SMARCB1	0.21847360905543	ES2	cutting_control	pearson	0	independent_column	ctrl_based
STAT3-1	STAT3	-0.47170738276842694	ES2	cutting_control	pearson	0	independent_column	ctrl_based
STAT3-2	STAT3	-0.3067175849327809	ES2	cutting_control	pearson	0	independent_column	ctrl_based
SUZ12-1	SUZ12	-0.07136217243245041	ES2	cutting_control	pearson	0	independent_column	ctrl_based
SUZ12-2	SUZ12	0.29274877920413267	ES2	cutting_control	pearson	0	independent_column	ctrl_based
TXN-1	TXN	0.6680801438548567	ES2	cutting_control	pearson	0	independent_column	ctrl_based
TXN-2	TXN	1.3323525930867397	ES2	cutting_control	pearson	0	independent_column	ctrl_based
XBP-1	XBP	0.6343166345823992	ES2	cutting_control	pearson	0	independent_column	ctrl_based
XBP-2	XBP	0.5732863721378972	ES2	cutting_control	pearson	0	independent_column	ctrl_based
YAP1-1	YAP1	-0.4338808700106819	ES2	cutting_control	pearson	0	independent_column	ctrl_based
YAP1-2	YAP1	-0.1018334982235038	ES2	cutting_control	pearson	0	independent_column	ctrl_based
AKT1-1	AKT1	-0.2926317363483746	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
AKT1-2	AKT1	-0.25436374932659267	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
ARID1B-1	ARID1B	0.3645801929835975	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
ARID1B-2	ARID1B	-0.31410523550570285	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
ATF4-1	ATF4	1.16778700002683	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
ATF4-2	ATF4	1.2178176988788014	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
ATP50-1	ATP50	0.1263658082746097	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
ATP50-2	ATP50	-0.19036737121940883	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
AURKB-2	AURKB		ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
BCL2-1	BCL2	-0.19535616560576818	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
BCL2-2	BCL2	-0.4445965243285916	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
BCL2L2-1	BCL2L2	-0.048693389348465926	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
BCL2L2-2	BCL2L2	0.7951184791464819	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
BCL2L2-4	BCL2L2	0.001800308850991375	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
BRAF-2	BRAF		ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
BRAF1-1	BRAF1		ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
BRCA1-1	BRCA1	-0.1764109378025463	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
BRCA1-2	BRCA1	-0.6057605743449535	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
BRD4-1	BRD4	-0.8122703099363691	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
BRD4-2	BRD4	-0.8995051439616021	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
CCND1-1	CCND1	-0.7380546446827716	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
CCND1-2	CCND1	-0.00670184877865343	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
CCNE1-1	CCNE1	-0.6665144900359892	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
CCNE1-2	CCNE1	-0.11269027572336951	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
CDK2-1	CDK2	0.03514796272206999	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
CDK2-2	CDK2	-0.2936799298514604	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
CDK4-1	CDK4	0.26013376630875007	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
CDK4-2	CDK4	-0.41997681417774124	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
CDK4-3	CDK4	-0.1979524473311149	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
CHEK2-1	CHEK2	-0.8144616641525716	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
CHEK2-2	CHEK2	0.26162594381047377	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
COX5B-1	COX5B	-0.21376062716800875	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
COX5B-2	COX5B	-0.15253807796970598	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
CSNK1A1-1	CSNK1A1	-0.7381534820303488	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
CSNK1A1-2	CSNK1A1	-0.36089622805930655	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
CTNNB1-1	CTNNB1	0.10047611869639356	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
CTNNB1-2	CTNNB1	0.038274510260878775	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
Chr2-1	Chr2	-0.02257555237176636	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
Chr2-2	Chr2	-0.059760769486041344	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
Chr2-3	Chr2	-0.044611460210111864	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
Chr2-4	Chr2	0.03570183047640596	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
Chr2-5	Chr2	0.013285595284485762	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
Chr2-6	Chr2	-0.04673660308999976	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
DOT1L-1	DOT1L	-0.022608190145290974	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
DOT1L-2	DOT1L	-0.15022065550750405	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
EGFR-1	EGFR	-0.13954725461961856	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
EGFR-2	EGFR	0.08983787784039651	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
EGLN1-8	EGLN1	0.11440502724048002	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
EGLN1-9	EGLN1	0.6221305271469847	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
EMPTY	EMPTY		ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
ERBB2-1	ERBB2	0.41665044985015853	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
ERBB2-2	ERBB2	0.6488154809661529	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
ERBB3-1	ERBB3	-0.35324236440953655	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
ERBB3-2	ERBB3	-0.19455075155419915	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
EZH2-1	EZH2	0.07724834019198051	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
EZH2-2	EZH2	0.05935722475992361	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
GLS-1	GLS	0.12168747895361898	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
GLS-2	GLS	0.27658314819385077	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
GPX4-1	GPX4	-0.625740372157181	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
GPX4-2	GPX4	-1.4295618812408795	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
HIF1a-1	HIF1a	0.04946551402491006	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
HIF1a-2	HIF1a	-1.181049388444857	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
ITGAV-1	ITGAV	0.5822941315068709	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
ITGAV-2	ITGAV	0.41344272533204085	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
JAK3-1	JAK3	-0.5052904890667239	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
JAK3-2	JAK3	-1.6214896278621218	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
KIF11-1	KIF11	-0.3262936395721212	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
KIF11-2	KIF11	-0.1755560739375172	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
KRAS-1	KRAS	-0.024023713600653362	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
KRAS-2A	KRAS	0.06173459612976584	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
KRAS-2B	KRAS	-0.453775702871264	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
LacZ-2	LacZ	-0.12666648911660755	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
LacZ-3	LacZ	0.10117870995501996	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
Luc-1	Luc	-0.003929230420194581	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
Luc-2	Luc	-0.1383559754938925	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
MAPK1-1	MAPK1	-0.1523506859777619	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
MAPK1-2	MAPK1	-0.3411390918427158	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
MCL1-2	MCL1	0.9775653725799126	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
MCL1-5	MCL1	0.2650269693899794	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
MTOR-1	MTOR	0.5375088132545445	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
MTOR-2	MTOR	-0.058691713065313234	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
MYC-1	MYC	-1.0132302708347	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
MYC-2	MYC	-1.6880297324862195	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
ORC4-1	ORC4	-0.06141550679756496	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
ORC4-2	ORC4	-0.1890379797465424	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
PIK3CA-1	PIK3CA	0.6295725495393797	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
PIK3CA-2	PIK3CA	-0.08419528045922385	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
POLR2D-1	POLR2D	0.004958306781326166	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
POLR2D-2	POLR2D	-0.0905264579843022	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
PPIB-1	PPIB	-0.07679707222091599	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
PPIB-2	PPIB	-0.1801856467933323	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
PRDX1-1	PRDX1	0.06684177002982511	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
PRDX1-2	PRDX1	0.42290371065124466	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
PSMA1-1	PSMA1	0.18653242460905303	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
PSMA1-2	PSMA1	-0.0401015287953647	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
PTK2-1	PTK2	-0.3574061734803706	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
PTK2-2	PTK2	0.25208459610122236	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
RAC1-1	RAC1	-0.22481583281589218	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
RAC1-2	RAC1	0.6923534992423029	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
RAF1-1	RAF1	1.4033133175476482	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
RAF1-2	RAF1	1.4794845163228854	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
RHOA-1	RHOA	-0.622542631789144	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
RHOA-2	RHOA	-0.2894249547341179	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
SDHB-1	SDHB	0.8700264324568965	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
SDHB-2	SDHB	0.3662767820360412	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
SLC2A1-1	SLC2A1		ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
SLC2A2-2	SLC2A2		ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
SMARCB1-1	SMARCB1	0.8237113681484269	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
SMARCB1-2	SMARCB1	0.8755471596042792	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
STAT3-1	STAT3	0.35815434517556394	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
STAT3-2	STAT3	0.4492511205709592	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
SUZ12-1	SUZ12	0.07283314745615826	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
SUZ12-2	SUZ12	0.5640342523209667	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
TXN-1	TXN	0.2461456638858306	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
TXN-2	TXN	-0.38883133264104774	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
XBP-1	XBP	-0.6111569118574502	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
XBP-2	XBP	-0.06384764794151498	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
YAP1-1	YAP1	-0.38110861418878267	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
YAP1-2	YAP1	-0.5565968070664598	ES2	cutting_control	pearson	0	full_metadata_shuffle	ctrl_based
AKT1-1	AKT1	-0.18980347890976787	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
AKT1-2	AKT1	-0.4332775530480845	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
ARID1B-1	ARID1B	-0.03754136755459765	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
ARID1B-2	ARID1B	0.011582575505368911	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
ATF4-1	ATF4	0.21569043959440476	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
ATF4-2	ATF4	0.22635440406696117	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
ATP50-1	ATP50	-1.1904537836448703	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
ATP50-2	ATP50	-0.7222228286073947	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
AURKB-2	AURKB		ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
BCL2-1	BCL2	0.04363423059181959	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
BCL2-2	BCL2	-0.28697432477155027	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
BCL2L2-1	BCL2L2	0.5209114997990021	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
BCL2L2-2	BCL2L2	0.43075645783030203	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
BCL2L2-4	BCL2L2	0.2976752272669153	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
BRAF-2	BRAF		ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
BRAF1-1	BRAF1		ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
BRCA1-1	BRCA1	-0.13767342211886424	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
BRCA1-2	BRCA1	-0.3134991474953791	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
BRD4-1	BRD4	1.2513849590656427	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
BRD4-2	BRD4	1.2228039016814753	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
CCND1-1	CCND1	0.6558653427360437	ES2	cutting_control	pearson	0	metadata_shuffle_ctrl_fixed	ctrl_based
